#{"t_start": 1680874795.764268, "env_id": null}
r,l,t
0.75,4,12.247769
1.0,4,12.249917
1.0,3,12.251177
1.0,4,12.252856
1.0,3,12.254389
1.0,3,12.256331
1.0,3,12.257992
1.0,3,12.25973
0.75,4,12.262267
0.75,4,12.264681
1.0,3,12.26628
1.0,4,12.26831
0.0,4,12.270416
1.0,3,12.272636
1.0,3,12.274937
1.0,4,12.278168
0.25,4,12.281209
1.0,3,12.283465
0.0,4,12.285902
1.0,3,12.288266
1.0,4,12.291257
0.0,4,12.293869
1.0,4,12.296404
1.0,3,12.29841
1.0,4,12.30073
0.25,4,12.302601
0.25,4,12.304415
0.0,4,12.306282
1.0,4,12.30828
1.0,4,12.310536
1.0,3,12.312143
0.75,4,12.313829
1.0,3,12.315074
0.25,4,12.316913
0.5,4,12.319617
1.0,4,12.322301
0.75,4,12.323988
1.0,3,12.325269
0.25,4,12.326957
1.0,4,12.328594
0.25,4,12.330222
1.0,4,12.332348
1.0,3,12.335957
0.75,4,12.339786
1.0,4,12.341567
1.0,3,12.343049
1.0,3,12.348399
0.5,4,12.352024
1.0,4,12.355502
0.5,4,12.359218
1.0,4,12.362618
1.0,3,12.365761
0.75,4,12.369453
1.0,4,12.372462
0.75,4,12.375375
0.75,4,12.37807
1.0,4,12.380898
1.0,3,12.383118
0.25,4,12.385714
1.0,3,12.387949
1.0,4,12.390871
0.25,4,12.393789
0.75,4,12.396932
1.0,4,12.400132
1.0,3,12.402148
1.0,4,12.404891
0.75,4,12.407985
1.0,3,12.410558
1.0,4,12.413721
1.0,3,12.415569
1.0,3,12.417371
1.0,4,12.420147
0.5,4,12.422462
1.0,4,12.42499
1.0,3,12.426877
1.0,3,12.428613
0.5,4,12.431399
1.0,4,12.433911
0.75,4,12.436409
1.0,3,12.438331
0.5,4,12.440943
1.0,4,12.443077
0.75,4,12.445362
0.75,4,12.447979
0.0,4,12.450856
1.0,3,12.452958
1.0,4,12.455588
0.25,4,12.458111
0.25,4,12.460475
0.75,4,12.463215
0.75,4,12.465971
0.75,4,12.468612
1.0,3,12.470874
1.0,3,12.472797
1.0,4,12.47567
0.75,4,12.478577
0.25,4,12.481328
1.0,4,12.484407
0.25,4,12.487844
1.0,4,12.491675
0.75,4,12.495864
0.75,4,12.499519
1.0,4,12.502563
0.75,4,12.50476
1.0,4,12.506856
1.0,3,12.508503
0.5,4,12.510146
1.0,3,12.511613
1.0,3,12.515093
0.25,4,12.516845
1.0,3,12.518071
1.0,4,12.519739
1.0,4,12.522057
1.0,3,12.52399
0.0,4,12.526784
1.0,4,12.529447
0.25,4,12.531712
0.75,4,12.534124
1.0,3,12.535564
1.0,3,12.536952
1.0,4,12.53897
1.0,4,12.54148
1.0,3,12.543145
1.0,3,12.5451
0.75,4,12.547588
1.0,3,12.549351
1.0,3,12.550849
1.0,4,12.552709
1.0,3,12.554138
1.0,4,12.556763
1.0,3,12.55892
0.25,4,12.561738
0.0,4,12.564296
1.0,4,12.567117
0.0,4,12.569396
0.25,4,12.572633
1.0,3,12.574455
1.0,4,12.576394
1.0,4,12.578071
0.0,4,12.580057
1.0,3,12.58179
1.0,3,12.58331
0.75,4,12.585592
1.0,4,12.587845
0.25,4,12.590091
1.0,4,12.59225
1.0,4,12.594407
1.0,4,12.596528
0.0,4,12.598643
1.0,3,12.600163
1.0,4,12.602106
1.0,3,12.603657
0.5,4,12.605519
0.75,4,12.607622
1.0,4,12.609691
0.5,4,12.611764
1.0,3,12.61335
1.0,4,12.615328
0.75,4,12.617243
1.0,3,12.618655
1.0,4,12.620713
1.0,4,12.622681
0.75,4,12.624779
1.0,3,12.626215
1.0,4,12.628041
0.75,4,12.630123
0.25,4,12.632082
0.5,4,12.634086
1.0,4,12.636304
0.25,4,12.638331
1.0,3,12.639824
1.0,4,12.641787
0.75,4,12.643765
1.0,3,12.645261
1.0,4,12.647385
1.0,3,12.648982
1.0,3,12.650557
1.0,3,12.652089
0.0,4,12.654076
1.0,3,12.65577
1.0,3,12.657357
0.75,4,12.659321
1.0,3,12.660801
0.75,4,12.662798
0.75,4,12.664924
0.0,4,12.666745
1.0,3,12.668272
0.0,4,12.670123
1.0,4,12.671927
0.25,4,12.673818
0.25,4,12.675725
1.0,3,12.677173
1.0,3,12.678629
1.0,3,12.679924
0.25,4,12.681922
1.0,4,12.683767
0.75,4,12.685597
1.0,3,12.687025
1.0,3,12.688642
0.75,4,12.690714
0.75,4,12.692803
0.75,4,12.694867
1.0,4,12.696763
1.0,4,12.698837
1.0,3,12.700395
1.0,3,12.701652
1.0,4,12.703537
1.0,4,12.705596
1.0,4,12.707447
1.0,3,12.708952
0.75,4,12.710889
0.5,4,12.712669
1.0,3,12.714072
0.0,4,12.715984
1.0,3,12.71753
1.0,4,12.719545
0.75,4,12.721455
1.0,3,12.722893
1.0,4,12.724806
1.0,4,12.72671
1.0,4,12.728941
1.0,4,12.730776
1.0,3,12.732225
1.0,3,12.733636
1.0,3,12.735113
1.0,3,12.736644
0.75,4,12.738463
0.5,4,12.740586
1.0,4,12.742671
1.0,3,12.744198
0.75,4,12.746061
0.5,4,12.74786
1.0,4,12.749829
0.25,4,12.751789
0.75,4,12.753769
1.0,3,12.75525
0.0,4,12.757277
1.0,3,12.758829
1.0,4,12.760812
0.5,4,12.762626
1.0,3,12.763922
0.25,4,12.765796
1.0,4,12.767681
1.0,4,12.769719
0.0,4,12.771635
0.0,4,12.773406
0.0,4,12.775446
0.0,4,12.777351
1.0,4,12.77924
0.75,4,12.781303
1.0,4,12.783302
0.25,4,12.785338
1.0,4,12.787405
0.25,4,12.789397
1.0,3,12.7908
0.75,4,12.792735
1.0,3,12.794047
1.0,3,12.79562
0.25,4,12.797612
1.0,3,12.799079
1.0,4,12.801104
1.0,4,12.803202
1.0,4,12.805178
0.75,4,12.807081
1.0,4,12.809072
1.0,4,12.811126
1.0,4,12.813247
1.0,3,12.814862
1.0,3,12.816379
1.0,3,12.817754
0.25,4,12.819672
1.0,4,12.821668
0.25,4,12.823501
0.0,4,12.8256
0.25,4,12.827637
0.0,4,12.829563
1.0,3,12.831009
0.0,4,12.833264
0.0,4,12.835297
1.0,4,12.83716
1.0,3,12.838618
1.0,3,12.840155
1.0,4,12.842116
0.5,4,12.84425
1.0,4,12.846232
1.0,4,12.848205
1.0,3,12.849587
1.0,4,12.851506
0.25,4,12.853271
1.0,4,12.855351
0.5,4,12.857173
1.0,4,12.859147
1.0,3,12.860646
0.5,4,12.862608
1.0,3,12.863998
1.0,4,12.865886
0.25,4,12.867845
1.0,4,12.869908
1.0,3,12.871428
1.0,3,12.872991
1.0,3,12.874482
0.25,4,12.876284
0.25,4,12.878206
0.25,4,12.880116
1.0,4,12.881865
0.75,4,12.883847
0.75,4,12.885837
0.75,4,12.887918
0.75,4,12.889779
0.5,4,12.89171
1.0,3,12.893174
0.25,4,12.895239
1.0,4,12.897134
1.0,3,12.898713
1.0,3,12.900113
0.25,4,12.902064
1.0,3,12.903574
0.5,4,12.905535
1.0,3,12.907048
1.0,3,12.908526
1.0,4,12.910503
0.75,4,12.912378
1.0,3,12.913893
0.25,4,12.915782
0.5,4,12.918052
1.0,3,12.919533
1.0,3,12.921106
1.0,4,12.92299
0.25,4,12.924943
0.75,4,12.926962
1.0,4,12.928922
0.25,4,12.930812
1.0,4,12.932772
0.75,4,12.934838
1.0,3,12.936221
1.0,3,12.937698
1.0,4,12.939654
0.25,4,12.941575
1.0,4,12.943358
1.0,4,12.945534
1.0,4,12.947437
1.0,3,12.948837
0.75,4,12.950581
0.75,4,12.95227
1.0,3,12.953605
1.0,3,12.955019
0.0,4,12.956753
1.0,3,12.958226
0.75,4,12.960111
1.0,3,12.961789
1.0,3,12.963291
0.25,4,12.965248
1.0,3,12.966582
0.75,4,12.968363
0.5,4,12.970147
1.0,3,12.971636
0.75,4,12.973516
0.25,4,12.975427
0.75,4,12.977305
1.0,3,12.978705
0.75,4,12.980516
1.0,3,12.981826
1.0,3,12.98325
0.75,4,12.985307
1.0,4,12.9872
1.0,3,12.988469
1.0,4,12.990555
0.75,4,12.992423
1.0,4,12.994362
0.0,4,12.996243
1.0,4,12.998144
0.5,4,13.000056
1.0,3,13.001436
1.0,4,13.003299
0.75,4,13.005514
1.0,4,13.007573
1.0,4,13.009427
0.75,4,13.011401
1.0,4,13.013552
0.75,4,13.015538
1.0,3,13.017033
1.0,4,13.018974
1.0,4,13.020909
0.75,4,13.022843
1.0,3,13.024278
1.0,3,13.025814
0.25,4,13.02774
1.0,4,13.029687
1.0,3,13.031217
0.75,4,13.033291
1.0,4,13.035391
0.5,4,13.037606
0.25,4,13.039539
1.0,3,13.041082
1.0,4,13.043083
1.0,3,13.044494
0.5,4,13.046359
0.75,4,13.048405
1.0,4,13.050408
1.0,3,13.051975
1.0,4,13.053943
1.0,3,13.055383
1.0,3,13.056874
0.75,4,13.058835
1.0,4,13.060815
1.0,3,13.062352
1.0,3,13.063794
0.75,4,13.065658
1.0,3,13.067148
1.0,4,13.069129
1.0,4,13.07109
1.0,3,13.072522
0.75,4,13.074443
0.75,4,13.076399
1.0,3,13.077865
1.0,4,13.079773
1.0,3,13.081109
0.25,4,13.082999
0.75,4,13.084876
1.0,3,13.08653
1.0,4,13.088464
1.0,4,13.090263
0.25,4,13.092077
1.0,3,13.093587
1.0,4,13.095407
1.0,3,13.09678
0.25,4,13.098721
0.5,4,13.100514
1.0,4,13.102486
0.75,4,13.104558
1.0,4,13.106401
1.0,3,13.107862
1.0,4,13.109788
0.75,4,13.111605
1.0,3,13.112949
1.0,3,13.114459
0.75,4,13.116533
1.0,4,13.118386
1.0,3,13.119828
0.0,4,13.121617
0.75,4,13.123548
0.75,4,13.125499
1.0,4,13.127428
1.0,4,13.129321
1.0,4,13.13121
1.0,3,13.132894
0.5,4,13.134851
1.0,3,13.136353
0.25,4,13.138253
0.25,4,13.140132
1.0,4,13.142152
0.75,4,13.143985
0.5,4,13.145778
1.0,3,13.147126
1.0,4,13.149287
0.25,4,13.151209
1.0,4,13.152961
1.0,3,13.154214
1.0,3,13.155504
1.0,4,13.15717
1.0,3,13.158428
0.0,4,13.160227
1.0,3,13.161642
0.75,4,13.16378
1.0,3,13.165309
1.0,3,13.166826
1.0,3,13.168286
1.0,4,13.170151
1.0,4,13.172208
1.0,3,13.173693
1.0,3,13.175195
0.75,4,13.177225
1.0,4,13.179208
0.75,4,13.181323
0.75,4,13.183323
0.0,4,13.185339
0.25,4,13.187132
1.0,4,13.188971
1.0,3,13.190319
1.0,4,13.192296
1.0,4,13.19434
1.0,4,13.196491
0.5,4,13.198487
1.0,3,13.200053
0.0,4,13.20213
1.0,3,13.203461
1.0,4,13.205513
0.5,4,13.207498
1.0,4,13.209525
0.75,4,13.211566
1.0,4,13.213571
1.0,3,13.214931
1.0,4,13.217045
1.0,3,13.218341
0.5,4,13.220081
0.5,4,13.222045
1.0,3,13.22339
1.0,3,13.224838
0.0,4,13.226605
1.0,4,13.228451
1.0,3,13.229928
0.25,4,13.231944
1.0,4,13.233826
0.75,4,13.235774
0.5,4,13.237466
1.0,3,13.238872
1.0,4,13.240956
0.0,4,13.242786
0.25,4,13.244725
0.75,4,13.246563
1.0,3,13.247964
1.0,3,13.24928
1.0,3,13.250557
0.25,4,13.252256
1.0,3,13.253836
1.0,3,13.255361
1.0,3,13.256827
0.0,4,13.258668
0.0,4,13.26062
1.0,4,13.262335
1.0,3,13.263715
1.0,3,13.265153
0.75,4,13.267128
1.0,3,13.268598
0.0,4,13.270441
1.0,4,13.272255
1.0,4,13.274135
0.25,4,13.275987
0.5,4,13.277892
1.0,4,13.279648
1.0,3,13.28092
1.0,3,13.282355
0.5,4,13.28439
1.0,4,13.286272
1.0,3,13.287732
0.25,4,13.289534
0.75,4,13.291484
1.0,3,13.293022
1.0,4,13.295025
1.0,3,13.296379
1.0,3,13.297806
1.0,4,13.299665
0.75,4,14.066726
1.0,4,14.069091
1.0,3,14.070826
1.0,3,14.072541
0.75,4,14.074594
1.0,3,14.076079
1.0,3,14.077673
0.5,4,14.079784
1.0,3,14.081213
1.0,4,14.083163
1.0,4,14.085151
1.0,4,14.087209
1.0,4,14.088958
1.0,3,14.090587
1.0,3,14.092181
1.0,3,14.093639
0.75,4,14.095832
1.0,3,14.097338
0.75,4,14.099365
0.0,4,14.101288
1.0,4,14.103441
1.0,3,14.104938
0.75,4,14.106961
1.0,3,14.108353
1.0,4,14.110199
1.0,3,14.111603
1.0,4,14.113622
1.0,4,14.115598
1.0,4,14.117648
0.5,4,14.119466
1.0,3,14.12098
1.0,4,14.123023
1.0,3,14.124446
0.5,4,14.126378
0.25,4,14.128372
1.0,4,14.130323
1.0,3,14.131833
1.0,4,14.133695
1.0,3,14.135202
0.0,4,14.137323
0.5,4,14.139233
1.0,4,14.141037
0.0,4,14.142967
1.0,4,14.144821
1.0,3,14.14611
1.0,4,14.148108
0.0,4,14.150127
1.0,4,14.152233
0.0,4,14.154054
0.75,4,14.156032
1.0,4,14.158109
1.0,4,14.160089
1.0,4,14.161989
1.0,4,14.163929
0.75,4,14.165859
1.0,3,14.167435
0.25,4,14.169296
1.0,4,14.171384
1.0,3,14.172804
1.0,3,14.174238
1.0,4,14.176253
0.75,4,14.178212
1.0,4,14.180243
1.0,4,14.182347
0.5,4,14.184274
0.75,4,14.186268
1.0,3,14.187809
0.5,4,14.189891
1.0,3,14.191443
0.75,4,14.193462
1.0,4,14.195565
0.5,4,14.197488
1.0,3,14.199102
1.0,3,14.200668
1.0,3,14.202297
0.75,4,14.204279
0.75,4,14.206214
0.75,4,14.208153
0.75,4,14.210087
1.0,4,14.212169
1.0,3,14.213658
0.25,4,14.215468
0.75,4,14.217383
0.75,4,14.21961
0.0,4,14.221343
1.0,3,14.222828
1.0,3,14.224406
1.0,3,14.225905
0.5,4,14.227895
0.75,4,14.229733
0.75,4,14.23169
1.0,4,14.233733
1.0,3,14.235221
1.0,3,14.236885
1.0,4,14.238849
1.0,4,14.240886
1.0,3,14.242318
1.0,4,14.244149
0.25,4,14.246204
1.0,3,14.248039
0.75,4,14.250214
1.0,3,14.251728
1.0,3,14.253258
1.0,4,14.255335
0.5,4,14.257284
1.0,4,14.259182
0.75,4,14.261247
1.0,3,14.262705
1.0,3,14.264179
1.0,4,14.265904
1.0,3,14.267186
0.5,4,14.269041
0.75,4,14.271076
1.0,3,14.272522
1.0,3,14.274133
1.0,4,14.276252
1.0,3,14.277723
1.0,3,14.27919
1.0,4,14.28132
0.75,4,14.283322
0.75,4,14.285335
0.5,4,14.287188
1.0,4,14.288968
0.0,4,14.29093
0.75,4,14.292825
0.5,4,14.294852
1.0,3,14.29627
1.0,3,14.297796
1.0,3,14.299231
0.0,4,14.301001
1.0,3,14.302539
1.0,3,14.303984
0.0,4,14.305909
1.0,3,14.307403
1.0,4,14.309552
0.5,4,14.311513
1.0,4,14.313282
1.0,4,14.315084
1.0,4,14.317078
0.75,4,14.319047
1.0,3,14.320568
0.0,4,14.322605
0.75,4,14.324552
1.0,3,14.32597
0.0,4,14.327794
0.75,4,14.329757
0.5,4,14.33169
1.0,4,14.333633
1.0,4,14.335544
0.0,4,14.337561
1.0,3,14.339172
1.0,3,14.340595
0.75,4,14.342721
1.0,3,14.344302
0.0,4,14.346261
1.0,4,14.34814
0.0,4,14.349983
1.0,3,14.351337
1.0,4,14.353404
1.0,3,14.354759
0.75,4,14.356827
1.0,4,14.35876
1.0,3,14.360151
0.5,4,14.362182
1.0,4,14.363952
1.0,3,14.365279
0.0,4,14.36717
0.0,4,14.369036
0.0,4,14.370859
0.0,4,14.372857
1.0,4,14.374885
0.75,4,14.376935
0.75,4,14.379032
1.0,3,14.380396
0.75,4,14.382468
0.75,4,14.384253
1.0,3,14.385598
0.75,4,14.387615
1.0,3,14.389019
1.0,3,14.390469
1.0,3,14.392002
1.0,4,14.394096
1.0,4,14.396076
1.0,3,14.397692
0.25,4,14.399638
1.0,4,14.40156
0.75,4,14.40338
1.0,4,14.405288
1.0,3,14.406602
0.75,4,14.408534
1.0,3,14.40994
0.75,4,14.411853
1.0,4,14.413816
1.0,3,14.415294
1.0,3,14.416694
1.0,4,14.418553
1.0,4,14.420606
1.0,3,14.422106
0.75,4,14.424113
0.75,4,14.425915
0.75,4,14.427793
0.5,4,14.429643
1.0,3,14.431048
1.0,3,14.432528
0.75,4,14.43453
1.0,3,14.43606
1.0,4,14.437998
1.0,4,14.439966
1.0,3,14.44133
1.0,3,14.442687
1.0,3,14.444297
1.0,3,14.445771
0.0,4,14.447598
0.75,4,14.449593
1.0,3,14.450976
1.0,4,14.452953
0.75,4,14.454988
1.0,3,14.456345
0.5,4,14.458265
0.75,4,14.460514
0.75,4,14.462343
0.25,4,14.464232
1.0,4,14.46625
1.0,3,14.467551
1.0,3,14.468923
0.75,4,14.470763
1.0,4,14.472443
0.0,4,14.474063
0.0,4,14.476114
0.5,4,14.478209
1.0,3,14.479734
0.25,4,14.481769
1.0,3,14.483267
1.0,4,14.485254
0.0,4,14.487144
1.0,3,14.488748
1.0,3,14.49012
1.0,3,14.491551
1.0,3,14.493038
0.75,4,14.495053
1.0,4,14.497057
1.0,3,14.498423
1.0,4,14.50043
1.0,4,14.502442
0.75,4,14.504506
0.5,4,14.506536
0.5,4,14.508559
0.75,4,14.510346
0.25,4,14.512357
1.0,3,14.513851
1.0,4,14.515729
1.0,4,14.517685
1.0,4,14.519733
0.75,4,14.521789
1.0,4,14.523671
0.0,4,14.525518
1.0,4,14.527685
1.0,3,14.529145
1.0,3,14.530675
1.0,4,14.532556
1.0,4,14.534689
1.0,4,14.536762
1.0,4,14.538639
1.0,3,14.53999
1.0,3,14.541412
1.0,4,14.543309
1.0,3,14.544812
1.0,4,14.54665
1.0,3,14.548187
1.0,3,14.549609
0.25,4,14.551443
1.0,4,14.553295
1.0,4,14.555272
1.0,4,14.557399
1.0,3,14.558827
1.0,3,14.560366
1.0,4,14.562241
1.0,3,14.563811
0.0,4,14.565789
1.0,3,14.567284
1.0,4,14.569159
1.0,4,14.571058
1.0,3,14.572597
0.5,4,14.574481
1.0,4,14.576345
0.5,4,14.578218
1.0,3,14.579723
1.0,3,14.581342
1.0,3,14.582688
0.75,4,14.584701
1.0,3,14.58629
1.0,4,14.588243
0.75,4,14.590032
0.25,4,14.591834
1.0,4,14.593821
1.0,4,14.595808
1.0,3,14.597304
0.25,4,14.599307
1.0,3,14.601011
0.75,4,14.602833
0.0,4,14.604827
0.5,4,14.606644
1.0,3,14.608214
1.0,4,14.610154
1.0,3,14.611686
0.75,4,14.613788
1.0,3,14.615203
0.75,4,14.617133
1.0,4,14.619076
1.0,4,14.621012
1.0,3,14.622572
1.0,3,14.624017
1.0,3,14.625522
0.5,4,14.627365
0.75,4,14.629571
0.75,4,14.631445
0.75,4,14.633505
0.75,4,14.635483
1.0,3,14.636856
0.75,4,14.638694
1.0,4,14.640791
0.0,4,14.642774
1.0,3,14.644144
1.0,3,14.645752
0.0,4,14.647558
0.0,4,14.649573
1.0,4,14.651471
1.0,3,14.652802
1.0,4,14.654768
0.75,4,14.656764
0.25,4,14.65874
0.5,4,14.660645
1.0,4,14.662516
1.0,3,14.664066
1.0,4,14.666135
1.0,3,14.667626
0.75,4,14.669421
1.0,3,14.670736
1.0,3,14.672053
0.75,4,14.673833
1.0,3,14.675333
1.0,3,14.677171
1.0,3,14.679269
0.75,4,14.681758
0.0,4,14.684361
1.0,3,14.685894
1.0,3,14.687425
1.0,3,14.689379
1.0,3,14.691045
0.75,4,14.69341
0.0,4,14.69554
1.0,3,14.697161
0.75,4,14.699328
1.0,3,14.700939
1.0,4,14.70285
0.5,4,14.705068
1.0,3,14.706726
0.75,4,14.708827
1.0,3,14.71026
1.0,3,14.711811
1.0,3,14.713375
1.0,4,14.715565
0.5,4,14.717633
1.0,3,14.719294
0.75,4,14.721231
1.0,4,14.723189
1.0,3,14.724702
1.0,3,14.726108
1.0,3,14.727557
0.75,4,14.729399
1.0,4,14.731377
1.0,3,14.733026
1.0,3,14.73455
1.0,4,14.736469
0.75,4,14.738398
1.0,3,14.739924
0.25,4,14.741908
1.0,3,14.743362
1.0,3,14.744851
1.0,4,14.746969
1.0,4,14.749013
1.0,4,14.751086
1.0,3,14.752478
1.0,4,14.754569
1.0,3,14.755991
1.0,3,14.757452
1.0,4,14.759648
0.75,4,14.761737
1.0,4,14.763826
1.0,4,14.765792
0.75,4,14.767937
1.0,4,14.769851
1.0,4,14.771798
1.0,3,14.773395
1.0,4,14.775562
0.75,4,14.777555
1.0,3,14.779134
0.75,4,14.781071
0.75,4,14.783173
1.0,3,14.784788
1.0,3,14.786167
1.0,3,14.787717
1.0,4,14.78957
1.0,3,14.790909
0.5,4,14.79296
1.0,3,14.79443
1.0,4,14.796461
1.0,4,14.798433
1.0,3,14.799983
0.5,4,14.801825
1.0,3,14.80319
1.0,4,14.805096
1.0,3,14.806561
1.0,3,14.808033
1.0,4,14.81012
1.0,4,14.812146
1.0,3,14.813649
1.0,3,14.815063
1.0,4,14.817149
1.0,3,14.818796
1.0,3,14.82031
1.0,4,14.822262
0.0,4,14.824106
1.0,3,14.825643
1.0,4,14.827644
0.25,4,14.829519
0.5,4,14.831379
1.0,3,14.832883
0.0,4,14.834993
1.0,3,14.836461
1.0,3,14.837828
1.0,4,14.839868
1.0,4,14.841898
1.0,3,14.843348
1.0,3,14.844869
0.75,4,14.846663
0.0,4,14.848496
1.0,4,14.850364
1.0,4,14.852354
1.0,3,14.853858
1.0,3,14.855238
1.0,4,14.857315
1.0,3,14.858798
0.75,4,14.860886
1.0,4,14.862872
1.0,3,14.864437
1.0,3,14.865982
0.75,4,14.867976
1.0,3,14.869485
0.75,4,14.871558
1.0,4,14.873353
1.0,3,14.874685
1.0,3,14.876112
0.0,4,14.87826
0.0,4,14.880026
1.0,3,14.881333
1.0,3,14.882818
1.0,3,14.884233
1.0,4,14.886026
1.0,4,14.887974
1.0,3,14.889466
1.0,3,14.89106
0.25,4,14.892896
1.0,3,14.894485
1.0,3,14.895894
0.75,4,14.897984
0.5,4,14.899954
1.0,4,14.901887
1.0,4,14.903836
1.0,4,14.905655
1.0,3,14.907206
1.0,4,14.909255
1.0,3,14.910544
0.75,4,14.912414
0.75,4,14.91447
1.0,3,14.915807
1.0,3,14.917142
1.0,3,14.91856
1.0,4,14.920461
0.5,4,14.922541
1.0,4,14.924507
1.0,4,14.92651
0.75,4,14.928461
1.0,3,14.929746
0.5,4,14.931563
1.0,3,14.933016
1.0,3,14.934569
1.0,4,14.936688
0.75,4,14.938643
1.0,3,14.940055
1.0,4,14.941969
1.0,3,14.943365
1.0,4,14.945244
0.0,4,14.947293
1.0,3,14.948799
0.0,4,14.950764
1.0,3,14.952204
1.0,4,14.954138
0.75,4,14.956141
1.0,3,14.95768
0.75,4,14.959635
1.0,3,14.961195
1.0,4,14.963308
1.0,4,14.965271
0.25,4,14.967334
1.0,4,14.969426
0.25,4,14.97144
1.0,4,14.973431
1.0,3,14.974972
1.0,3,14.97643
1.0,4,14.978421
1.0,4,14.980374
0.0,4,14.982584
0.75,4,14.98469
1.0,4,14.986641
1.0,4,14.988539
0.0,4,14.990478
1.0,3,14.991846
1.0,3,14.993429
0.75,4,14.995363
1.0,4,14.997312
1.0,3,14.998903
1.0,3,15.000331
0.75,4,15.002262
0.75,4,15.004051
0.75,4,15.00584
1.0,3,15.007194
0.75,4,15.009161
0.75,4,15.010959
1.0,3,15.012317
0.25,4,15.014215
1.0,3,15.015771
1.0,3,15.017177
0.75,4,15.019161
0.5,4,15.021036
1.0,4,15.023166
1.0,3,15.024691
0.75,4,15.026658
1.0,3,15.027987
0.75,4,15.029934
1.0,3,15.031578
1.0,4,15.033664
1.0,3,15.035357
0.5,4,15.037458
1.0,3,15.039051
1.0,3,15.04055
1.0,4,15.042706
0.25,4,15.044713
1.0,3,15.046256
1.0,3,15.047706
1.0,4,15.049704
0.0,4,15.05175
1.0,4,15.053922
1.0,3,15.055516
1.0,3,15.057088
1.0,4,15.059204
0.5,4,15.061027
1.0,3,15.062465
1.0,3,15.063945
0.5,4,15.065889
0.5,4,15.06784
1.0,4,15.069715
0.75,4,15.071756
0.0,4,15.073712
1.0,4,15.075704
1.0,3,15.077145
0.0,4,15.841833
1.0,3,15.84349
1.0,3,15.845203
0.5,4,15.847431
0.0,4,15.849729
1.0,3,15.85139
0.5,4,15.853452
1.0,4,15.855621
1.0,3,15.857014
1.0,3,15.858497
1.0,3,15.860082
1.0,3,15.861572
1.0,4,15.863703
1.0,4,15.865578
0.75,4,15.867765
0.75,4,15.869823
1.0,3,15.871337
0.5,4,15.873167
1.0,4,15.875229
1.0,4,15.877276
1.0,3,15.878754
0.75,4,15.880883
1.0,4,15.882862
0.5,4,15.884817
1.0,4,15.886882
1.0,4,15.88892
0.75,4,15.890852
1.0,4,15.892791
1.0,4,15.89481
1.0,3,15.896397
0.25,4,15.898256
1.0,3,15.899747
1.0,3,15.901338
1.0,3,15.902892
1.0,4,15.904858
1.0,3,15.906204
0.75,4,15.908186
1.0,4,15.910247
1.0,3,15.911635
0.0,4,15.913646
1.0,4,15.915592
1.0,4,15.917662
1.0,3,15.919138
0.75,4,15.921086
0.5,4,15.923251
0.75,4,15.925358
0.75,4,15.92723
1.0,3,15.928782
0.75,4,15.930756
1.0,3,15.932147
0.75,4,15.934242
0.75,4,15.936347
1.0,4,15.938395
1.0,4,15.940416
1.0,4,15.942477
0.75,4,15.944523
1.0,3,15.946174
0.75,4,15.948199
1.0,4,15.950185
0.75,4,15.952258
0.75,4,15.954191
1.0,4,15.956078
1.0,4,15.957944
1.0,4,15.959873
1.0,4,15.961843
0.75,4,15.963755
0.75,4,15.965844
1.0,4,15.96764
0.75,4,15.969683
0.75,4,15.971594
1.0,3,15.973028
1.0,3,15.974674
1.0,3,15.976225
0.75,4,15.978069
1.0,4,15.979945
0.25,4,15.98185
1.0,4,15.984046
1.0,3,15.985542
1.0,4,15.987377
1.0,4,15.989277
1.0,3,15.990739
0.75,4,15.99273
0.75,4,15.994656
1.0,3,15.995978
1.0,3,15.997542
1.0,3,15.999058
1.0,3,16.000415
1.0,3,16.001778
0.75,4,16.00382
1.0,3,16.005249
1.0,3,16.006758
1.0,3,16.008407
1.0,4,16.010426
1.0,4,16.012542
1.0,4,16.014476
1.0,4,16.016353
1.0,3,16.017877
1.0,3,16.019356
0.25,4,16.021525
1.0,3,16.022991
1.0,3,16.024622
1.0,4,16.026573
0.75,4,16.028551
1.0,3,16.030009
1.0,3,16.031547
0.5,4,16.033501
0.75,4,16.035377
1.0,3,16.036798
1.0,3,16.038288
0.5,4,16.040261
1.0,3,16.041807
0.75,4,16.043746
0.75,4,16.045716
0.5,4,16.047793
0.75,4,16.049826
0.5,4,16.05188
0.75,4,16.054102
0.75,4,16.055956
0.75,4,16.057991
1.0,3,16.059457
1.0,4,16.061278
1.0,4,16.063201
0.75,4,16.065173
0.75,4,16.066977
1.0,3,16.068373
1.0,4,16.070402
1.0,3,16.071884
0.75,4,16.073928
0.75,4,16.07578
0.75,4,16.077656
1.0,3,16.079005
1.0,3,16.080586
0.75,4,16.082453
0.75,4,16.08451
1.0,4,16.086393
1.0,3,16.087887
0.5,4,16.089808
1.0,4,16.091652
1.0,4,16.093727
0.75,4,16.095645
1.0,4,16.097599
1.0,3,16.099092
0.0,4,16.101017
1.0,3,16.102484
0.75,4,16.104514
0.5,4,16.106478
1.0,4,16.108417
1.0,4,16.110409
0.5,4,16.112369
0.0,4,16.114188
1.0,4,16.115975
0.75,4,16.117947
0.75,4,16.119927
0.75,4,16.121825
1.0,4,16.12366
0.75,4,16.125443
1.0,3,16.126953
0.0,4,16.128816
0.5,4,16.130611
0.75,4,16.132482
0.0,4,16.134453
1.0,4,16.136375
