#{"t_start": 1680874795.764268, "env_id": null}
r,l,t
0.25,4,1.789249
0.25,4,1.791102
0.25,4,1.79314
0.5,4,1.795124
0.0,4,1.797091
0.0,4,1.799267
0.0,4,1.801155
0.0,4,1.803191
0.5,4,1.805384
0.5,4,1.807327
0.0,4,1.809102
0.5,4,1.810886
0.5,4,1.812747
0.0,4,1.814684
0.25,4,1.816623
0.25,4,1.818629
0.0,4,1.820582
0.25,4,1.822552
0.75,4,1.824556
1.0,4,1.826692
0.0,4,1.828633
0.75,4,1.830417
0.5,4,1.832285
0.25,4,1.834251
0.0,4,1.836215
0.5,4,1.837989
0.75,4,1.839829
0.5,4,1.841737
0.25,4,1.843662
0.0,4,1.845606
0.25,4,1.847773
0.0,4,1.849629
0.5,4,1.851682
0.75,4,1.853532
0.25,4,1.855591
0.25,4,1.857505
0.0,4,1.859374
0.5,4,1.861258
0.25,4,1.863152
0.75,4,1.864982
0.5,4,1.866824
0.0,4,1.868916
0.75,4,1.87093
0.25,4,1.87277
0.0,4,1.874779
0.25,4,1.876831
0.25,4,1.878843
0.25,4,1.88068
0.5,4,1.882415
0.5,4,1.884078
0.75,4,1.885859
0.25,4,1.887548
0.25,4,1.889151
0.5,4,1.890832
0.25,4,1.892585
0.25,4,1.894411
0.5,4,1.896343
0.25,4,1.898099
0.25,4,1.899956
0.25,4,1.901962
0.5,4,1.903784
0.5,4,1.905557
0.25,4,1.907583
0.25,4,1.90952
0.75,4,1.911445
0.5,4,1.913269
0.5,4,1.915115
0.0,4,1.917158
0.75,4,1.919145
0.75,4,1.92111
0.5,4,1.923232
0.25,4,1.925136
0.5,4,1.927135
0.25,4,1.929162
0.75,4,1.931347
0.25,4,1.93325
0.75,4,1.93518
0.25,4,1.937208
0.25,4,1.939082
0.75,4,1.941305
0.75,4,1.943312
0.75,4,1.94531
0.5,4,1.947342
0.5,4,1.949403
0.75,4,1.951313
0.25,4,1.953318
0.5,4,1.955467
0.0,4,1.957569
0.75,4,1.959516
0.5,4,1.961317
0.25,4,1.963254
0.0,4,1.965299
0.0,4,1.967217
0.75,4,1.969335
0.0,4,1.971527
0.25,4,1.97357
0.75,4,1.97548
0.0,4,1.977471
0.5,4,1.979513
0.5,4,1.981515
0.0,4,1.983412
0.75,4,1.985289
0.5,4,1.987247
0.25,4,1.989154
0.5,4,1.991269
0.25,4,1.993325
0.5,4,1.99539
0.75,4,1.997212
0.75,4,1.998956
0.0,4,2.000797
